"destino" "tempo" "distancia" "destino.1" "tempo.1" "distancia.1" "destino.2" "tempo.2" "distancia.2" "destino.3" "tempo.3" "distancia.3" "destino.4" "tempo.4" "distancia.4" "destino.5" "tempo.5" "distancia.5" "destino.6" "tempo.6" "distancia.6" "destino.7" "tempo.7" "distancia.7" "destino.8" "tempo.8" "distancia.8" "destino.9" "tempo.9" "distancia.9" "destino.10" "tempo.10" "distancia.10"
"97" 211 0.1 8.9 194 0 4.1 4 0.1 2.2 4 0.1 2.2 4 0.1 2.2 211 0.1 8.9 194 0 4.1 4 0.1 2.2 4 0.1 2.2 4 0.1 2.2 4 0.1 2.2
"98" 26 0 3.6 26 0 3.6 26 0 3.6 26 0 3.6 26 0 3.6 26 0 3.6 240 0.2 9.2 164 0.1 2.2 164 0.1 2.2 240 0.2 9.2 164 0.1 2.2
"99" 136 0.1 5 38 0.1 4.1 76 0.1 3.2 38 0.1 4.1 38 0.1 4.1 38 0.1 4.1 38 0.1 4.1 167 0.1 5.8 38 0.1 4.1 38 0.1 4.1 38 0.1 4.1
"100" 173 0.1 9.5 198 0.1 5.8 86 0.1 5 198 0.1 5.8 198 0.1 5.8 198 0.1 5.8 198 0.1 5.8 119 0.4 11 198 0.1 5.8 198 0.1 5.8 198 0.1 5.8
"101" 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5 168 0.3 9.5
"102" 144 0.2 16.4 248 0.2 18.9 248 0.2 18.9 248 0.2 18.9 248 0.2 18.9 248 0.2 18.9 144 0.2 16.4 162 0.3 17.8 144 0.2 16.4 144 0.2 16.4 144 0.2 16.4
"103" 154 0.1 11.4 154 0.1 11.4 241 0.1 2.2 154 0.1 11.4 241 0.1 2.2 245 0.1 12.4 154 0.1 11.4 241 0.1 2.2 154 0.1 11.4 154 0.1 11.4 154 0.1 11.4
"104" 48 0 3 243 0.1 8.5 48 0 3 243 0.1 8.5 243 0.1 8.5 48 0 3 48 0 3 48 0 3 113 0.1 4.1 113 0.1 4.1 113 0.1 4.1
"105" 180 0 2 127 0.1 7.6 180 0 2 180 0 2 180 0 2 180 0 2 180 0 2 180 0 2 180 0 2 180 0 2 180 0 2
"106" 241 0.2 15 64 0.1 5.1 103 0.2 16.1 241 0.2 15 131 0.2 9.9 131 0.2 9.9 16 0.1 2.2 16 0.1 2.2 16 0.1 2.2 64 0.1 5.1 16 0.1 2.2
"107" 68 0 1 109 0.1 3.6 192 0.1 5.7 246 0.1 6.7 192 0.1 5.7 109 0.1 3.6 109 0.1 3.6 68 0 1 109 0.1 3.6 109 0.1 3.6 95 0.1 3.6
"108" 21 0.1 2.8 21 0.1 2.8 101 0.2 22 101 0.2 22 101 0.2 22 21 0.1 2.8 245 0.3 17.1 122 0.4 9.2 101 0.2 22 101 0.2 22 21 0.1 2.8
"109" 13 0.3 11.2 68 0 3.2 68 0 3.2 68 0 3.2 235 0.1 10.8 192 0.1 2.2 192 0.1 2.2 192 0.1 2.2 192 0.1 2.2 192 0.1 2.2 192 0.1 2.2
"110" 139 0 1.4 133 0.2 11 133 0.2 11 24 0 1 133 0.2 11 139 0 1.4 139 0 1.4 85 0.1 3 139 0 1.4 24 0 1 139 0 1.4
"111" 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2 224 0.1 3.2
"112" 9 0.1 6.1 126 0.2 11.7 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1 9 0.1 6.1
"113" 243 0.1 5.7 48 0 1.4 243 0.1 5.7 48 0 1.4 48 0 1.4 243 0.1 5.7 243 0.1 5.7 243 0.1 5.7 48 0 1.4 48 0 1.4 243 0.1 5.7
"114" 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3 210 0 3
"115" 242 0.1 3 191 0.2 15 156 0 2 156 0 2 156 0 2 242 0.1 3 156 0 2 242 0.1 3 156 0 2 156 0 2 156 0 2
"116" 78 0 4.5 172 0 2 226 0 2.2 78 0 4.5 172 0 2 172 0 2 172 0 2 78 0 4.5 149 0.1 3.2 172 0 2 172 0 2
